,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,CRR_price,MC_price,moneyness,MAE_BS,MAE_MC,MAE_CRR,Heston,MAE_Heston
0,10101,2025-10-30,AAPL251107C00282500,2025-11-07,282.5,271.339996,0.02432,0.04,0.343146217,0.239366669881483,1.95,1.97,932,5539,,,,,0.0213799693634665,13.1364341477174,-95.193668151062,1.53127920261004,1.99278349447936,1.99218717985793,1.99326867449858,0.9604955610619469,0.004181568173387772,0.004243453379920913,0.00410550763494006,0.599712557948464,0.17350605128208366
1,10101,2025-10-30,AAPL251114C00272500,2025-11-14,272.5,271.339996,0.04349,0.04,0.297187204,0.496101992563067,6.1,6.2,702,1217,,,,,0.023721966611045,22.5734444514793,-82.2566982533505,5.57685966114978,6.37865982057423,6.37805582742995,6.29955645634702,0.9957431045871559,0.009295114657489,0.006079530745813792,0.009270562090648365,5.642734634332327,0.020620543319824117
2,10101,2025-10-29,AAPL251114C00255000,2025-11-14,255.0,269.700012,0.04623,0.04,0.308600664,0.817452614921636,16.25,16.65,1097,51,,,,,0.01479232843244,15.3503832190725,-59.3729687728467,9.40607798346468,17.0060768804718,17.0067876589455,16.9469229998011,1.0576471058823531,0.008451016420544065,0.007552021273572952,0.008461818525007584,18.220549703740907,0.02690805020882839
3,10101,2025-10-30,AAPL251114C00257500,2025-11-14,257.5,271.339996,0.04349,0.04,0.319220675,0.801171113752359,15.7,16.05,117,31,,,,,0.0154438037765703,15.7856446710967,-65.975568575192,8.74313509315692,16.3539317522721,16.3548990437115,16.5856890690742,1.0537475572815533,0.007542232319245668,0.011191953843688176,0.007557465255299238,17.316709592730557,0.02270408807449697
4,10101,2025-10-30,AAPL251205C00290000,2025-12-05,290.0,271.339996,0.10103,0.04,0.264594756,0.241740726686817,2.79,2.9,188,169,,,,,0.0136764675785524,26.9174028607107,-37.7467402820558,6.31128374135919,3.12548480945571,3.12684448073881,3.20988104146603,0.9356551586206896,0.02464717130542271,0.03206336041002023,0.024766650328542188,2.041168997815532,0.07063541319722917
5,10101,2025-10-29,AAPL251205C00245000,2025-12-05,245.0,269.700012,0.10377,0.04,0.384161432,0.808285831255127,26.3,28.7,647,22,,,,,0.008175613417646,23.7065227974549,-51.4226259897612,19.5640006538015,29.4616660751331,29.4625477661434,29.7056831006632,1.100816375510204,0.017833327955755447,0.020051664551483644,0.01784134332857635,30.020287892401164,0.022911708112737857
6,10101,2025-10-30,AAPL251121C00272500,2025-11-21,272.5,271.339996,0.06267,0.04,0.279182013,0.503899958739991,6.95,7.05,2425,2931,,,,,0.0210357607662004,27.0977343333249,-65.5331827705902,8.10911386936148,7.33419989760887,7.33281029995906,7.2487633867829,0.9957431045871559,0.011935710628888208,0.008884406670817866,0.011886082141394987,6.978033276969391,0.0007845258225217375
7,10101,2025-10-30,AAPL251121C00255000,2025-11-21,255.0,271.339996,0.06267,0.04,0.305671006,0.811291927517966,18.45,18.75,18937,682,,,,,0.0130145657236001,18.3557126515912,-52.8017514266726,12.5920296470044,19.2105255525734,19.2104142450114,19.1152165779953,1.0640784156862744,0.00820598860985752,0.006924954005313174,0.008204492540475783,20.63558875053438,0.02736006385126855
8,10101,2025-10-29,AAPL271217C00420000,2027-12-17,420.0,269.700012,2.13664,0.04,0.27843434,0.249888770623553,9.25,9.5,307,1,,,,,0.00289433949768306,125.24648726266,-10.3148264936058,115.065234253735,13.5415329994067,13.5389052015881,13.4147011460178,0.6421428857142858,0.11110754665084532,0.10772536389380799,0.11103747204234934,7.038050548743124,0.06231865203351669
9,10101,2025-10-29,AAPL270617C00310000,2027-06-17,310.0,269.700012,1.63516,0.04,0.301169708,0.50031230260136,26.7,26.95,350,91,,,,,0.00384094025391811,137.584980258105,-16.7399200673294,166.355838313369,33.1975039263559,33.2026678424751,32.7022500819129,0.8700000387096775,0.05938959856808854,0.05477399889946786,0.059437724533784736,25.98629204157795,0.007816476779329439
10,10101,2025-10-27,AAPL251107C00280000,2025-11-07,280.0,268.809998,0.03253,0.04,0.312018599,0.250340399396786,2.12,2.14,7393,1799,,,,,0.0210209606898199,15.4172864332516,-76.5428011327905,2.11743160518107,2.19801848363382,2.19897728459026,2.14203172449705,0.9600357071428571,0.0079833900978662,0.0014121742367429878,0.00809592542139203,0.9434585379246111,0.13926542982105503
11,10101,2025-10-27,AAPL251107C00270000,2025-11-07,270.0,268.809998,0.03253,0.04,0.306647559,0.488561112170175,5.3,5.4,30653,26115,,,,,0.0268228192702702,19.333871770599,-96.1583996723833,4.09226122765097,5.52959057012096,5.53039810299055,5.51140752581032,0.9955925851851852,0.008392082715932728,0.007542407748145807,0.008429817896754701,4.691241533221536,0.030783105924227273
12,10101,2025-10-27,AAPL251107C00257500,2025-11-07,257.5,268.809998,0.03253,0.04,0.291999268,0.807079599435517,12.8,12.95,18272,306,,,,,0.0193475188113178,13.2795065927669,-67.7509602131241,6.62839083720922,13.1923456677623,13.1918484024866,13.3001471719672,1.043922322330097,0.0061620518012097105,0.008255284892566998,0.006152396164788364,14.311621456562852,0.027895562263356353
13,10101,2025-10-27,AAPL251128C00285000,2025-11-28,285.0,268.809998,0.09007,0.04,0.251228191,0.245033478166902,2.57,2.63,1450,455,,,,,0.0155118615353341,25.3631557486985,-37.8933895935449,5.67719330730497,2.83715781650731,2.83766327722176,2.72898694585862,0.9431929754385965,0.022803636202626012,0.012402590947944245,0.02285223819440002,2.168835091083884,0.04145816431885727
