asset_id,asof,tenor,moneyness,iv,contract_symbol,ask,bid,expiry,delta,strike,log_moneyness,H_kappa,H_theta,H_volvol,H_rho,H_diff_term,S_alpha,S_rho,S_nu,S_theoretical_iv,SABR_Edge
10101,2026-01-02,0.02158,0.935254425187797,0.365973137,AAPL260109C00252500,18,17,2026-01-09,0.901148527328244,252.490723934718,-0.06693667420902398,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.019086651299633384,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.2475274427098676,0.11844569429013241
10101,2026-01-02,0.02158,0.9537743147954759,0.253181296,AAPL260109C00257500,13,12,2026-01-09,0.905652987841813,257.4905402502569,-0.047328202820647904,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.1318784922996334,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.23336314789792606,0.01981814810207394
10101,2026-01-02,0.02158,0.9722942044031548,0.215706085,AAPL260109C00262500,8,8,2026-01-09,0.823778431817476,262.4903565657958,-0.028096840892760534,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.1693537032996334,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.22230076957668693,-0.006594684576686938
10101,2026-01-02,0.02158,0.990814094010834,0.1962971,AAPL260109C00267500,4,4,2026-01-09,0.64222332801356,267.4901728813348,-0.00922835658837773,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.18876268829963339,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.21563183710107436,-0.019334737101074362
10101,2026-01-02,0.02158,1.00933398361851,0.177986736,AAPL260109C00272500,2,2,2026-01-09,0.378551087999752,272.4899891968729,0.009290691178856718,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.20707305229963338,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.2142907193397947,-0.036303983339794704
10101,2026-01-02,0.02158,1.02785387322619,0.173592249,AAPL260109C00277500,1,0,2026-01-09,0.15130448455015,277.4898055124121,0.027473010262047966,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.21146753929963338,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.21812211716456678,-0.04452986816456678
10101,2026-01-02,0.02158,1.04637376283387,0.186531572,AAPL260109C00282500,0,0,2026-01-09,0.0537777192002508,282.48962182795134,0.045330627662055395,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.19852821629963338,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.22594547085486938,-0.03941389885486937
10101,2026-01-02,0.02158,1.06489365244155,0.210945391,AAPL260109C00287500,0,0,2026-01-09,0.0235237326786002,287.48943814349053,0.06287493731296565,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.17411439729963338,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.23634153152667073,-0.02539614052667072
10101,2026-01-02,0.02158,1.08341354204923,0.238288867,AAPL260109C00292500,0,0,2026-01-09,0.0123259007227505,292.48925445902967,0.08011674374747242,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.1467709212996334,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.23726329105160587,0.001025575948394114
10101,2026-01-02,0.02158,1.10193343165691,0.259773027,AAPL260109C00297500,0,0,2026-01-09,0.00617159329120209,297.4890707745689,0.0970663020612466,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.1252867612996334,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.2362526529204783,0.023520374079521678
10101,2026-01-02,0.02158,1.12971326606843,0.296882031,AAPL260109C00305000,0,0,2026-01-09,0.00293235972783612,304.9887952478777,0.12196385368297477,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.0881777572996334,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.23477335933797244,0.06210867166202755
10101,2026-01-02,0.02158,1.16675304528379,0.367193828,AAPL260109C00315000,0,0,2026-01-09,0.00242777942852085,314.9884278789561,0.15422471590119768,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.017865960299633388,3.458976871774173,-0.012254097038665415,3.1535539680677642,0.23286586931903508,0.13432795868096492
10101,2026-01-02,0.04075,0.925994480383957,0.303107555,AAPL260116C00250000,21,20,2026-01-16,0.905538061651963,249.9908157769484,-0.07688700506219248,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.08195223329963341,3.374562148180055,-0.2045586945507718,2.6651935638172097,0.2572268333817408,0.04588072161825918
10101,2026-01-02,0.04075,0.944514369991636,0.257697853,AAPL260116C00255000,16,16,2026-01-16,0.875881885173068,254.99063209248732,-0.057084377766013,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.1273619352996334,3.374562148180055,-0.2045586945507718,2.6651935638172097,0.24229782437341166,0.015400028626588319
10101,2026-01-02,0.04075,0.9630342595993151,0.235603347,AAPL260116C00260000,12,11,2026-01-16,0.802334544813598,259.9904484080263,-0.037666291908911416,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.1494564412996334,3.374562148180055,-0.2045586945507718,2.6651935638172097,0.22893328722391043,0.00667005977608956
10101,2026-01-02,0.04075,0.981554149206994,0.208259871,AAPL260116C00265000,7,7,2026-01-16,0.692389768881468,264.9902647235652,-0.018618096938217157,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.17679991729963337,3.374562148180055,-0.2045586945507718,2.6651935638172097,0.21784274463402986,-0.009582873634029848
10101,2026-01-02,0.04075,1.00007403881467,0.19831124,AAPL260116C00270000,4,4,2026-01-16,0.523478730703345,269.9900810391033,7.403607393229307e-05,1.9266520251544468,0.14827104056535848,0.01,-0.99,-0.1867485482996334,3.374562148180055,-0.2045586945507718,2.6651935638172097,0.20988588057325722,-0.011574640573257217
