,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,MC_price,CRR_price
111,10101,2025-12-02,AAPL251212C00300000,2025-12-12,300.0,286.230011,0.02979,0.04,0.193367441,0.08765308777181924,0.35,0.36,5449.0,3907.0,0.012346912228180768,0.010000000000000009,0.355,0.02816901408442772,0.01666546835073814,7.865054036596391,-26.514224586239283,0.7359016058096526,0.38092131534355644,0.0,0.3808538363898587
46,10101,2025-12-02,AAPL251205C00290000,2025-12-05,290.0,286.230011,0.01062,0.04,0.179085358,0.24923525526178697,0.76,0.77,19128.0,59007.0,0.0007647447382130301,0.010000000000000009,0.765,0.013071895424819525,0.06006398500958902,9.358991939672762,-81.73335987716753,0.7494767719453405,0.7777002392760437,0.0,0.7777588174272106
106,10101,2025-12-02,AAPL251212C00287500,2025-12-12,287.5,286.230011,0.02979,0.04,0.206917111,0.4710115947879284,3.45,3.5,6804.0,21266.0,0.028988405212071577,0.04999999999999982,3.475,0.014388489208628901,0.03892371423278565,19.65674117621157,-73.51361540610924,3.907813875494362,3.637426976006168,0.0,3.6367136871118095
102,10101,2025-12-02,AAPL251212C00277500,2025-12-12,277.5,286.230011,0.02979,0.04,0.255012333,0.7742059173400807,10.35,10.5,2739.0,1583.0,0.024205917340080707,0.15000000000000036,10.425,0.014388489208631746,0.02385245055850913,14.845506740100998,-71.97581490497717,6.281646795977004,10.740963714094534,0.0,10.740702584069647
38,10101,2025-12-02,AAPL251205C00270000,2025-12-05,270.0,286.230011,0.01062,0.04,0.451421501,0.9010213163597927,16.55,16.9,3912.0,417.0,0.0010213163597926345,0.34999999999999787,16.725,0.020926756352763944,0.013084869912154773,5.139329954036565,-118.86443314733337,2.5584564757989123,16.979845011903905,0.0,16.979599549403893
111,10101,2025-12-02,AAPL251212C00300000,2025-12-12,300.0,286.230011,0.02979,0.04,0.193367441,0.08765308777181924,0.35,0.36,5449.0,3907.0,0.012346912228180768,0.010000000000000009,0.355,0.02816901408442772,0.01666546835073814,7.865054036596391,-26.514224586239283,0.7359016058096526,0.38092131534355644,0.0,0.3808538363898587
198,10101,2025-12-02,AAPL251219C00295000,2025-12-19,295.0,286.230011,0.04897,0.04,0.202705727,0.2720318200526187,1.93,1.96,15329.0,7932.0,0.022031820052618722,0.030000000000000027,1.9449999999999998,0.015424164524413678,0.025848505712366215,21.021412735777243,-46.538583541570496,3.710351511107874,2.093957841746686,0.0,2.0946847818727954
195,10101,2025-12-02,AAPL251219C00287500,2025-12-19,287.5,286.230011,0.04897,0.04,0.217170914,0.48909893914902947,4.8,4.9,2175.0,4126.0,0.010901060850970534,0.10000000000000053,4.85,0.02061855670102679,0.02899118481037451,25.259692661953277,-61.40439400295936,6.603447573679422,5.147523416880432,0.0,5.148864183648845
191,10101,2025-12-02,AAPL251219C00277500,2025-12-19,277.5,286.230011,0.04897,0.04,0.250373707,0.7330614495538533,11.4,11.55,1773.0,428.0,0.016938550446146672,0.15000000000000036,11.475000000000001,0.013071895424835491,0.02073004105770623,20.823288696771968,-61.14853904584364,9.691049140099114,11.92775227986752,0.0,11.92774569391186
183,10101,2025-12-02,AAPL251219C00257500,2025-12-19,257.5,286.230011,0.04897,0.04,0.392095923,0.900604129019351,29.85,30.0,50.0,65.0,0.0006041290193510296,0.14999999999999858,29.925,0.0050125313283205875,0.0070349432835940875,11.066578411738924,-53.397748833980295,11.132690549967277,30.44450997988119,0.0,30.44461731471408
200,10101,2025-12-02,AAPL251219C00305000,2025-12-19,305.0,286.230011,0.04897,0.04,0.200203311,0.08577214393972765,0.43,0.45,35310.0,1191.0,0.014227856060272354,0.020000000000000018,0.44,0.04545454545444219,0.01235380578034686,9.922759456703163,-21.245857276169215,1.1781245517434842,0.49068681011094384,0.0,0.4907173747990106
198,10101,2025-12-02,AAPL251219C00295000,2025-12-19,295.0,286.230011,0.04897,0.04,0.202705727,0.2720318200526187,1.93,1.96,15329.0,7932.0,0.022031820052618722,0.030000000000000027,1.9449999999999998,0.015424164524413678,0.025848505712366215,21.021412735777243,-46.538583541570496,3.710351511107874,2.093957841746686,0.0,2.0946847818727954
195,10101,2025-12-02,AAPL251219C00287500,2025-12-19,287.5,286.230011,0.04897,0.04,0.217170914,0.48909893914902947,4.8,4.9,2175.0,4126.0,0.010901060850970534,0.10000000000000053,4.85,0.02061855670102679,0.02899118481037451,25.259692661953277,-61.40439400295936,6.603447573679422,5.147523416880432,0.0,5.148864183648845
239,10101,2025-12-02,AAPL251226C00275000,2025-12-26,275.0,286.230011,0.06815,0.04,0.253913711,0.7511414689679283,14.25,14.35,2272.0,521.0,0.0011414689679283274,0.09999999999999964,14.3,0.006993006993006479,0.016708233901629857,23.687154563508162,-52.131353216596715,13.637626564639868,14.887563927368603,0.0,14.888883824855776
183,10101,2025-12-02,AAPL251219C00257500,2025-12-19,257.5,286.230011,0.04897,0.04,0.392095923,0.900604129019351,29.85,30.0,50.0,65.0,0.0006041290193510296,0.14999999999999858,29.925,0.0050125313283205875,0.0070349432835940875,11.066578411738924,-53.397748833980295,11.132690549967277,30.44450997988119,0.0,30.44461731471408
