,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,MC_price,CRR_price
147,10101,2025-12-26,AAPL260109C00285000,2026-01-09,285.0,273.399994,0.04075,0.04,0.160164648,0.11150282226438979,0.38,0.43,2746.0,2106.0,0.011502822264389784,0.04999999999999999,0.405,0.12345679012315193,0.021478493069535504,10.478402726498155,-21.79271045178214,1.2229527191053364,0.4708132763169637,0.4671547762329087,0.47086823391766375
146,10101,2025-12-26,AAPL260109C00280000,2026-01-09,280.0,273.399994,0.04075,0.04,0.158455681,0.24864865983611745,1.07,1.18,14601.0,4367.0,0.0013513401638825528,0.10999999999999988,1.125,0.09777777777769074,0.03623183185385251,17.487298404159,-36.667650601260235,2.718146831518524,1.2745951908468385,1.2792601399639356,1.2746783416626521
145,10101,2025-12-26,AAPL260109C00275000,2026-01-09,275.0,273.399994,0.04075,0.04,0.16663431,0.4569245315933462,2.77,2.95,6761.0,3795.0,0.04307546840665383,0.18000000000000016,2.8600000000000003,0.06293706293704097,0.04312621833688587,21.88922670656376,-49.62627384598255,4.963064122071916,3.1290930141157816,3.1031430583717343,3.129560100389121
96,10101,2025-12-26,AAPL260102C00270000,2026-01-02,270.0,273.399994,0.02158,0.04,0.155037747,0.7253455265058427,4.25,4.55,4276.0,1888.0,0.02465447349415728,0.2999999999999998,4.4,0.06818181818180263,0.05355534851776097,13.393335262133633,-55.855309804149954,4.1780330911282375,4.697818817871195,4.728981902750005,4.698150136651183
90,10101,2025-12-26,AAPL260102C00255000,2026-01-02,255.0,273.399994,0.02158,0.04,0.384039363,0.8994836117287686,17.75,19.2,209.0,68.0,0.0005163882712314605,1.4499999999999993,18.475,0.07848443843030695,0.011422920206845232,7.076219980987193,-72.02608246120538,4.888733813492875,19.372591940313924,19.182395305887496,19.372932220888575
299,10101,2025-12-26,AAPL260130C00300000,2026-01-30,300.0,273.399994,0.09829,0.04,0.21509574,0.0994267255719482,0.72,0.75,1391.0,671.0,0.000573274428051801,0.030000000000000027,0.735,0.04081632653055675,0.009479239921728059,14.979994750803396,-17.444585949751612,2.5890456235249917,0.8432125684624907,0.884499666899067,0.8430118042215545
261,10101,2025-12-26,AAPL260123C00285000,2026-01-23,285.0,273.399994,0.07911,0.04,0.171517074,0.2201632210864577,1.38,1.46,3147.0,228.0,0.029836778913542306,0.08000000000000007,1.42,0.05633802816897446,0.022459135524006905,22.77869192444285,-27.03564409040642,4.633062744452974,1.6280061263950358,1.6302718893893209,1.6285965860321778
294,10101,2025-12-26,AAPL260130C00275000,2026-01-30,275.0,273.399994,0.09829,0.04,0.240913353,0.5050102941150686,7.0,7.5,1566.0,396.0,0.005010294115068592,0.5,7.25,0.0689655172413698,0.019317982256763663,34.19235165768769,-47.10687852134594,12.785951186469198,7.986080436650241,7.974161918311242,7.986845407343961
217,10101,2025-12-26,AAPL260116C00265000,2026-01-16,265.0,273.399994,0.05993,0.04,0.211311598,0.7503030576736377,10.45,10.75,32854.0,291.0,0.00030305767363769665,0.3000000000000007,10.6,0.02830188679245023,0.02245413325561521,21.25499019983241,-45.22974799348973,11.622645623734416,11.196411456660854,11.064187618427448,11.197405817517204
214,10101,2025-12-26,AAPL260116C00250000,2026-01-16,250.0,273.399994,0.05993,0.04,0.291755129,0.9069159554910455,23.6,24.35,47412.0,157.0,0.006915955491045511,0.75,23.975,0.031282586027110273,0.00852623925547772,11.143389065696644,-36.047652423074155,13.369133813376935,24.872338442208815,25.107990468004544,24.872149339814083
351,10101,2025-12-26,AAPL260220C00310000,2026-02-20,310.0,273.399994,0.15582,0.04,0.215584016,0.08682918061102113,0.73,0.77,67233.0,140.0,0.013170819388978877,0.040000000000000036,0.75,0.05333333333326227,0.006795504217756414,17.063120024575753,-12.717391243701973,3.5588983349903,0.8988696081377121,0.8823806175019465,0.8988525485939829
348,10101,2025-12-26,AAPL260220C00295000,2026-02-20,295.0,273.399994,0.15582,0.04,0.215828154,0.2186501263987875,2.39,2.47,9763.0,431.0,0.0313498736012125,0.08000000000000007,2.43,0.032921810699574956,0.012666965628410496,31.842040448905212,-24.331524736120553,8.878344488550827,2.800234233533125,2.7787408226376207,2.7993237249589353
344,10101,2025-12-26,AAPL260220C00275000,2026-02-20,275.0,273.399994,0.15582,0.04,0.235542313,0.5202441849057949,9.2,9.4,20035.0,953.0,0.020244184905794937,0.20000000000000107,9.3,0.02150537634408382,0.015673695839811805,42.999217422157024,-37.78125805152139,20.575201629642006,10.189961930356617,10.108381029793277,10.187561212589804
340,10101,2025-12-26,AAPL260220C00255000,2026-02-20,255.0,273.399994,0.15582,0.04,0.284553053,0.7678929226990179,22.65,23.25,36572.0,19.0,0.017892922699017877,0.6000000000000014,22.95,0.026143790849672128,0.00993817770469712,32.9374678829914,-37.497075808680776,28.91414576028285,24.38098462597833,24.40915737781552,24.381325203468986
334,10101,2025-12-26,AAPL260220C00225000,2026-02-20,225.0,273.399994,0.15582,0.04,0.425909061,0.8997293953377875,49.35,50.95,2707.0,4.0,0.00027060466221251467,1.6000000000000014,50.150000000000006,0.031904287138583634,0.0038255976122494434,18.977385014852832,-33.68951926100017,30.20451938233317,52.143940178127565,51.88040883694847,52.14457194922769
418,10101,2025-12-26,AAPL260320C00320000,2026-03-20,320.0,273.399994,0.23242,0.04,0.21912402,0.0886675986233102,0.9,0.94,10297.0,54.0,0.01133240137668981,0.039999999999999925,0.9199999999999999,0.04347826086951788,0.005560535946160183,21.167868925465253,-10.902741333262982,5.370521844661721,1.134737616072151,1.105528940148171,1.1349059341354748
414,10101,2025-12-26,AAPL260320C00300000,2026-03-20,300.0,273.399994,0.23242,0.04,0.221382298,0.23285944464101138,3.15,3.25,26459.0,783.0,0.01714055535898862,0.10000000000000009,3.2,0.03124999999999026,0.010478147064540267,40.29933494550051,-21.588660270796474,13.921418277130309,3.766076666745839,3.836112557396513,3.766481619556176
410,10101,2025-12-26,AAPL260320C00280000,2026-03-20,280.0,273.399994,0.23242,0.04,0.238075246,0.47231939185669075,9.4,9.65,48467.0,287.0,0.02768060814330925,0.25,9.525,0.026246719160102232,0.01268275154657655,52.456368890351015,-31.603644973951564,27.525942523182238,10.70021043520984,11.051238085230858,10.702079752354603
405,10101,2025-12-26,AAPL260320C00255000,2026-03-20,255.0,273.399994,0.23242,0.04,0.286017882,0.7394481402939881,25.0,25.55,227.0,7.0,0.010551859706011912,0.5500000000000007,25.275,0.0217606330365966,0.008613512566110993,42.80002041894932,-33.33602296741927,40.67932157988167,27.14007613862387,27.053258575451185,27.137072089900357
396,10101,2025-12-26,AAPL260320C00210000,2026-03-20,210.0,273.399994,0.23242,0.04,0.479497393,0.9027009486645101,64.55,66.9,4466.0,9.0,0.0027009486645100944,2.3500000000000085,65.725,0.03575503993913995,0.0027217438293921604,22.672739359864714,-30.517950463643317,41.43055847870423,68.5411568006314,68.16616004850002,68.53824771979669
636,10101,2025-12-26,AAPL260618C00350000,2026-06-18,350.0,273.399994,0.479,0.04,0.236335762,0.09490376060500721,1.39,1.45,2580.0,31.0,0.005096239394992791,0.06000000000000005,1.42,0.04225352112673084,0.003776754878351118,31.958085705485125,-8.847365523463468,11.536720427635819,1.8620525702348942,1.9013614638704588,1.860150801288886
629,10101,2025-12-26,AAPL260618C00315000,2026-06-18,315.0,273.399994,0.479,0.04,0.241188008,0.2577615894406561,5.25,5.4,348.0,37.0,0.00776158944065608,0.15000000000000036,5.325,0.028169014084501818,0.007075724283127131,61.102520731197814,-17.94090918973906,30.627446810421375,6.5320676493661765,6.648079267797793,6.5343454725824035
623,10101,2025-12-26,AAPL260618C00285000,2026-06-18,285.0,273.399994,0.479,0.04,0.261207339,0.4866455064974374,14.65,14.85,4381.0,1393.0,0.013354493502562625,0.1999999999999993,14.75,0.013559322033897337,0.008067055519089799,75.44542955611655,-25.214018435010466,55.60162208343584,16.97055726055379,17.208217575267792,16.97454434605574
