asset_id,asof,tenor,moneyness,iv,contract_symbol,ask,bid,expiry,delta,log_returns,hist_vol_10d,target_realized_vol_10d,close,strike,log_moneyness,H_kappa,H_theta,H_volvol,H_rho,H_diff_term,S_alpha,S_rho,S_nu,S_theoretical_iv,SABR_Edge
10101,2025-10-22,0.00776,0.860901488369828,1.063969524,AAPL251024C00222500,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,222.50000017823322,-0.14977519646639692,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.9371380641402552,2.0,-0.6336656273010086,2.0,0.17342372645683093,0.8905457975431691
10101,2025-10-22,0.00776,0.92861284138768,0.602543037,AAPL251024C00240000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,240.00000019225166,-0.07406337473070022,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.47571157714025525,2.0,-0.6336656273010086,2.0,0.1702025805568615,0.4323404564431385
10101,2025-10-22,0.00776,0.996324194405532,0.23389438,AAPL251024C00257500,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,257.5000002062701,-0.003682577968900334,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.10706292014025523,2.0,-0.6336656273010086,2.0,0.12699263366974645,0.10690174633025357
10101,2025-10-22,0.00776,1.06403554742338,0.289069609,AAPL251024C00275000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,275.0000002202875,0.062068799593876685,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.16223814914025522,2.0,-0.6336656273010086,2.0,0.10173930627832056,0.18733030272167944
10101,2025-10-22,0.00776,1.1607660517346,0.546879531,AAPL251024C00300000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,300.00000024031453,0.14908017658350947,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.4200480711402552,2.0,-0.6336656273010086,2.0,0.09953135238502635,0.4473481786149736
10101,2025-10-22,0.02694,0.87057453880095,0.562504375,AAPL251031C00225000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,225.00000018023593,-0.13860189586827132,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.4356729151402552,2.0,-0.04171152859860568,2.0,0.14939180921364068,0.41311256578635924
10101,2025-10-22,0.02694,0.938285891818802,0.424932509,AAPL251031C00242500,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,242.50000019425434,-0.0637005876951533,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.29810104914025526,2.0,-0.04171152859860568,2.0,0.14664364330790275,0.27828886569209726
10101,2025-10-22,0.02694,1.00599724483665,0.359015199,AAPL251031C00260000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,260.0000002082718,0.0059793329428330134,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.23218373914025522,2.0,-0.04171152859860568,2.0,0.12527094167300035,0.23374425732699966
10101,2025-10-22,0.02694,1.0737085978545,0.344977253,AAPL251031C00277500,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,277.5000002222897,0.07111863511379306,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.2181457931402552,2.0,-0.04171152859860568,2.0,0.13790521665531832,0.20707203634468166
10101,2025-10-22,0.02694,1.18011215259684,0.414068359,AAPL251031C00305000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,305.000000244319,0.16560947853471739,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.2872368991402552,2.0,-0.04171152859860568,2.0,0.13465440246433893,0.27941395653566103
10101,2025-10-22,0.04623,0.831882337076463,0.568851968,AAPL251107C00215000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,215.00000017222536,-0.18406426994502914,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.4420205081402553,2.0,0.2934906435042435,2.0,0.1337776061105078,0.4350743618894922
10101,2025-10-22,0.04623,0.92861284138768,0.387701436,AAPL251107C00240000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,240.00000019225166,-0.07406337473070022,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.2608699761402552,2.0,0.2934906435042435,2.0,0.13018571888692063,0.2575157171130794
10101,2025-10-22,0.04623,1.0253433456989,0.317511708,AAPL251107C00265000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,265.00000021227874,0.025027527913534027,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.19068024814025522,2.0,0.2934906435042435,2.0,0.1352824909415506,0.1822292170584494
10101,2025-10-22,0.04623,1.12207385001011,0.321051711,AAPL251107C00290000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,290.0000002323032,0.1151786249078252,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.19422025114025523,2.0,0.2934906435042435,2.0,0.1516076527389474,0.1694440582610526
10101,2025-10-22,0.04623,1.21880435432133,0.371100039,AAPL251107C00315000,0,0.0,,,-0.014557778882513204,,0.15414161144645,258.450012207031,315.0000002523303,0.1978703407529416,2.0094648097480294,0.01608621921015405,0.20973925296974724,-0.1,0.2442685791402552,2.0,0.2934906435042435,2.0,0.14846434744413828,0.22263569155586171
