,asset_id,asof,contract_symbol,expiry,strike,S0,T,r,sigma,delta,bid,ask,openInterest,volume,d_delta,spread,mid,spread_rel,gamma,vega,theta,rho,BS_price,MC_price,CRR_price
111,10101,2025-12-02,AAPL251212C00300000,2025-12-12,300.0,286.294495,0.02979,0.04,0.191170198,0.08620787053291101,0.34,0.35,5449.0,3919.0,0.013792129467088993,0.009999999999999953,0.345,0.028985507246292664,0.016645164517519555,7.769709471292709,-25.902384714706532,0.7240897909089066,0.36934889034693086,0.0,0.3694294116912733
198,10101,2025-12-02,AAPL251219C00295000,2025-12-19,295.0,286.294495,0.04897,0.04,0.202095381,0.27305141301325325,1.95,1.97,15329.0,7933.0,0.023051413013253252,0.020000000000000018,1.96,0.010204081632647863,0.02596892289450108,21.065240562846395,-46.51020741283767,3.7252737076028164,2.098688249739567,0.0,2.0995059973183388
195,10101,2025-12-02,AAPL251219C00287500,2025-12-19,287.5,286.294495,0.04897,0.04,0.217537122,0.4910157460432086,4.85,4.95,2175.0,4129.0,0.008984253956791421,0.10000000000000053,4.9,0.020408163265302065,0.028939328654297377,25.26841081854804,-61.53978579631844,6.62986567388529,5.188376120738752,0.0,5.1895825594221385
239,10101,2025-12-02,AAPL251226C00275000,2025-12-26,275.0,286.294495,0.06815,0.04,0.251411295,0.7541511419614739,14.2,14.35,2272.0,522.0,0.004151141961473925,0.15000000000000036,14.274999999999999,0.010507880910682303,0.016761364237519637,23.538891309686655,-51.45981408982378,13.700368917630168,14.877006888922068,0.0,14.87787945536742
184,10101,2025-12-02,AAPL251219C00260000,2025-12-19,260.0,286.294495,0.04897,0.04,0.359137268,0.8991219770647714,27.4,27.5,22086.0,803.0,0.0008780229352286506,0.10000000000000142,27.45,0.003642987249544546,0.007762253288824069,11.189337750161258,-50.209758864202605,11.237944910472775,27.92889920567137,0.0,27.92851856716794
287,10101,2025-12-02,AAPL260102C00310000,2026-01-02,310.0,286.294495,0.08733,0.04,0.1962971,0.09989528887557214,0.65,0.68,320.0,313.0,0.00010471112442786423,0.030000000000000027,0.665,0.045112781954819416,0.010559366267653764,14.836832461478949,-17.78816658611628,2.4306748819611244,0.766772686787899,0.0,0.7668188507608912
285,10101,2025-12-02,AAPL260102C00300000,2026-01-02,300.0,286.294495,0.08733,0.04,0.199837103,0.24097972951447788,2.08,2.12,3252.0,1557.0,0.00902027048552212,0.040000000000000036,2.1,0.019047619047609994,0.018427983533275943,26.359877971823405,-32.82593519208853,5.8212023915934745,2.3341928353006125,0.0,2.335186112109431
195,10101,2025-12-02,AAPL251219C00287500,2025-12-19,287.5,286.294495,0.04897,0.04,0.217537122,0.4910157460432086,4.85,4.95,2175.0,4129.0,0.008984253956791421,0.10000000000000053,4.9,0.020408163265302065,0.028939328654297377,25.26841081854804,-61.53978579631844,6.62986567388529,5.188376120738752,0.0,5.1895825594221385
239,10101,2025-12-02,AAPL251226C00275000,2025-12-26,275.0,286.294495,0.06815,0.04,0.251411295,0.7541511419614739,14.2,14.35,2272.0,522.0,0.004151141961473925,0.15000000000000036,14.274999999999999,0.010507880910682303,0.016761364237519637,23.538891309686655,-51.45981408982378,13.700368917630168,14.877006888922068,0.0,14.87787945536742
184,10101,2025-12-02,AAPL251219C00260000,2025-12-19,260.0,286.294495,0.04897,0.04,0.359137268,0.8991219770647714,27.4,27.5,22086.0,803.0,0.0008780229352286506,0.10000000000000142,27.45,0.003642987249544546,0.007762253288824069,11.189337750161258,-50.209758864202605,11.237944910472775,27.92889920567137,0.0,27.92851856716794
287,10101,2025-12-02,AAPL260102C00310000,2026-01-02,310.0,286.294495,0.08733,0.04,0.1962971,0.09989528887557214,0.65,0.68,320.0,313.0,0.00010471112442786423,0.030000000000000027,0.665,0.045112781954819416,0.010559366267653764,14.836832461478949,-17.78816658611628,2.4306748819611244,0.766772686787899,0.0,0.7668188507608912
285,10101,2025-12-02,AAPL260102C00300000,2026-01-02,300.0,286.294495,0.08733,0.04,0.199837103,0.24097972951447788,2.08,2.12,3252.0,1557.0,0.00902027048552212,0.040000000000000036,2.1,0.019047619047609994,0.018427983533275943,26.359877971823405,-32.82593519208853,5.8212023915934745,2.3341928353006125,0.0,2.335186112109431
372,10101,2025-12-02,AAPL260116C00290000,2026-01-16,290.0,286.294495,0.12568,0.04,0.228797995,0.4776685964509817,7.55,7.6,66283.0,6463.0,0.022331403549018303,0.04999999999999982,7.574999999999999,0.0066006600660057065,0.017152622488623034,40.42731610663993,-41.940073830178164,16.154601119039484,8.215742696327993,0.0,8.218010014580624
368,10101,2025-12-02,AAPL260116C00270000,2026-01-16,270.0,286.294495,0.12568,0.04,0.278937875,0.7557998821887157,20.85,21.0,88298.0,4285.0,0.005799882188715744,0.14999999999999858,20.925,0.007168458781361597,0.011084403398330936,31.850186336527265,-43.12177731900974,24.4358331480167,21.9532428679681,0.0,21.95492439420306
362,10101,2025-12-02,AAPL260116C00240000,2026-01-16,240.0,286.294495,0.12568,0.04,0.413824221,0.9048814830124706,48.3,48.45,28810.0,294.0,0.0048814830124706,0.15000000000000568,48.375,0.003100775193798503,0.004027715167053923,17.16986273641832,-36.650391392750294,26.33921636133091,49.48997756688456,0.0,49.487521558988014
